/Dret<0> X,/Dret<0> Y
3.074999999999993e-08,1.810581809864157
3.087499999999994e-08,1.811144598335697
3.099999999999994e-08,1.803523639138322
3.112499999999994e-08,1.800742405738193
3.124999999999995e-08,1.800124684306653
3.137499999999995e-08,1.800005617841383
3.149999999999995e-08,1.79998277263081
3.162499999999995e-08,1.799979816878302
3.174999999999996e-08,1.799980022416477
3.187499999999995e-08,1.799980443673758
3.199999999999996e-08,1.799980852863777
3.212499999999997e-08,1.799978815478951
3.224999999999997e-08,1.80012740072892
3.237499999999997e-08,1.799682986206916
3.249999999999997e-08,1.792358535221398
3.262499999999998e-08,1.785061101715581
3.274999999999998e-08,1.793030373631107
3.287499999999998e-08,1.79921682859359
3.299999999999998e-08,1.799939792825287
3.312499999999999e-08,1.799993870799004
3.324999999999999e-08,1.799997765059524
3.337499999999999e-08,1.799998813925486
3.35e-08,1.799999436603018
3.3625e-08,1.799999792441645
3.375e-08,1.79999998950702
3.3875e-08,1.800000100554602
3.4e-08,1.800000161978585
3.412500000000001e-08,1.799998767905627
3.425000000000001e-08,1.799967920195367
3.437500000000001e-08,1.800180110617411
3.450000000000002e-08,1.801021532749728
3.462500000000002e-08,1.805018042823981
3.475000000000002e-08,1.817219333678886
3.487500000000003e-08,1.807338786640076
3.500000000000003e-08,1.800324691026503
3.512500000000003e-08,1.799994575709346
3.525000000000003e-08,1.799984484082499
3.537500000000004e-08,1.799983978028369
3.550000000000004e-08,1.799984006428328
3.562500000000004e-08,1.799984265444894
3.575000000000005e-08,1.79998457101565
3.587500000000004e-08,1.799984871017454
3.6e-08,1.799985159420099
3.612500000000005e-08,1.79998350406162
3.625000000000006e-08,1.800084068230969
3.637500000000006e-08,1.799904112729425
3.650000000000006e-08,1.799843009051004
3.662500000000006e-08,1.801563355653763
3.675000000000007e-08,1.896633960544648
3.687500000000007e-08,0.03457564653177337
3.700000000000007e-08,0.004824287348064959
3.712500000000008e-08,0.001690317666850552
3.725000000000008e-08,0.0005622290336397585
3.737500000000008e-08,0.0001834290006979764
3.750000000000008e-08,5.792938904850852e-05
3.762500000000009e-08,1.978598915742578e-05
3.775000000000009e-08,9.227264707813352e-06
