/D<0> X,/D<0> Y
1.09624999999999e-07,1.8
1.09749999999999e-07,1.8
1.09874999999999e-07,1.8
1.09999999999999e-07,1.8
1.10124999999999e-07,0
1.10249999999999e-07,0
1.10374999999999e-07,0
1.10499999999999e-07,0
1.10624999999999e-07,0
1.10749999999999e-07,0
1.10874999999999e-07,0
1.10999999999999e-07,0
1.11124999999999e-07,0
1.11249999999999e-07,0
1.11374999999999e-07,0
1.11499999999999e-07,0
1.11624999999999e-07,0
1.11749999999999e-07,0
1.11874999999999e-07,0
1.11999999999999e-07,0
1.12124999999999e-07,0
1.12249999999999e-07,0
1.12374999999999e-07,0
1.124999999999989e-07,0
1.126249999999989e-07,0
1.127499999999989e-07,0
1.128749999999989e-07,0
1.129999999999989e-07,0
1.131249999999989e-07,0
1.132499999999989e-07,0
1.133749999999989e-07,0
1.134999999999989e-07,0
1.136249999999989e-07,0
1.137499999999989e-07,0
1.138749999999989e-07,0
1.139999999999989e-07,0
1.141249999999989e-07,0
1.142499999999989e-07,0
1.143749999999989e-07,0
1.144999999999989e-07,0
1.146249999999989e-07,0
1.147499999999989e-07,0
1.148749999999989e-07,0
1.149999999999989e-07,0
1.151249999999989e-07,0
1.152499999999989e-07,0
1.153749999999989e-07,0
1.154999999999989e-07,0
1.156249999999989e-07,0
1.157499999999988e-07,0
1.158749999999989e-07,0
1.159999999999988e-07,0
1.161249999999988e-07,0
1.162499999999988e-07,0
1.163749999999988e-07,0
1.164999999999988e-07,0
1.166249999999988e-07,0
1.167499999999988e-07,0
1.168749999999988e-07,0
1.169999999999988e-07,0
1.171249999999988e-07,0
1.172499999999988e-07,0
1.173749999999988e-07,0
1.174999999999988e-07,0
1.176249999999988e-07,0
1.177499999999988e-07,0
1.178749999999988e-07,0
1.179999999999988e-07,0
1.181249999999988e-07,1.8
1.182499999999988e-07,1.8
1.183749999999988e-07,1.8
1.184999999999988e-07,1.8
1.186249999999988e-07,1.8
1.187499999999988e-07,1.8
1.188749999999988e-07,1.8
1.189999999999987e-07,1.8
1.191249999999987e-07,1.8
1.192499999999987e-07,1.8
1.193749999999988e-07,1.8
1.194999999999988e-07,1.8
1.196249999999988e-07,1.8
1.197499999999988e-07,1.8
1.198749999999988e-07,1.8
1.199999999999988e-07,1.8
1.201249999999988e-07,1.8
1.202499999999988e-07,1.8
1.203749999999988e-07,1.8
1.204999999999988e-07,1.8
1.206249999999988e-07,1.8
1.207499999999989e-07,1.8
1.208749999999989e-07,1.8
1.209999999999989e-07,1.8
1.211249999999989e-07,1.8
1.212499999999989e-07,1.8
1.213749999999989e-07,1.8
1.214999999999989e-07,1.8
1.216249999999989e-07,1.8
1.217499999999989e-07,1.8
1.218749999999989e-07,1.8
1.219999999999989e-07,1.8
1.22124999999999e-07,1.8
1.22249999999999e-07,1.8
1.22374999999999e-07,1.8
1.22499999999999e-07,1.8
1.22624999999999e-07,1.8
1.22749999999999e-07,1.8
1.22874999999999e-07,1.8
1.22999999999999e-07,1.8
1.23124999999999e-07,1.8
1.23249999999999e-07,1.8
1.233749999999991e-07,1.8
1.234999999999991e-07,1.8
1.236249999999991e-07,1.8
1.237499999999991e-07,1.8
1.238749999999991e-07,1.8
1.239999999999991e-07,1.8
1.241249999999991e-07,1.8
1.242499999999991e-07,1.8
1.243749999999991e-07,1.8
1.244999999999991e-07,1.8
1.246249999999991e-07,1.8
