/CLKT X,/CLKT Y
2.487499999999993e-08,1.800012789057862
2.499999999999993e-08,1.799952544351198
2.512499999999993e-08,1.799923528037427
2.524999999999993e-08,1.799946259704654
2.537499999999993e-08,1.799968382325118
2.549999999999993e-08,1.799982072635957
2.562499999999993e-08,1.799989994881804
2.574999999999993e-08,1.799994433287283
2.587499999999993e-08,1.799996966533565
2.599999999999993e-08,1.799998398868689
2.612499999999993e-08,0.7635990425583409
2.624999999999993e-08,0.1513227927032272
2.637499999999993e-08,0.002784095469521262
2.649999999999993e-08,7.177975436782998e-05
2.662499999999993e-08,4.877287345867224e-05
2.674999999999993e-08,0.001191574401147577
2.687499999999992e-08,5.174008215054202e-05
2.699999999999992e-08,7.381042346839979e-05
2.712499999999992e-08,4.966996330121709e-05
2.724999999999992e-08,2.297934724146736e-05
2.737499999999992e-08,8.276992296819408e-06
2.749999999999992e-08,2.533822488046539e-06
2.762499999999992e-08,6.93302016364209e-07
2.774999999999992e-08,1.874570308564665e-07
2.787499999999992e-08,4.313809277533607e-08
2.799999999999992e-08,3.46153467851991e-09
2.812499999999992e-08,0.7299985746141489
2.824999999999992e-08,1.175527600308847
2.837499999999992e-08,1.676382035661389
2.849999999999992e-08,1.783653770721928
2.862499999999992e-08,1.797951503130502
