Power_Bias X,Power_Bias Y
6.025000000000056e-08,0.00018
6.037500000000055e-08,0.00018
6.050000000000055e-08,0.00018
6.062500000000054e-08,0.00018
6.075000000000054e-08,0.00018
6.087500000000054e-08,0.00018
6.100000000000053e-08,0.00018
6.112500000000053e-08,0.00018
6.125000000000053e-08,0.00018
6.137500000000052e-08,0.00018
6.150000000000052e-08,0.00018
6.162500000000051e-08,0.00018
6.175000000000051e-08,0.00018
6.187500000000052e-08,0.00018
6.200000000000001e-08,0.00018
6.21250000000005e-08,0.00018
6.225000000000049e-08,0.00018
6.237500000000049e-08,0.00018
6.250000000000049e-08,0.00018
6.262500000000048e-08,0.00018
6.275000000000048e-08,0.00018
6.287500000000048e-08,0.00018
6.300000000000047e-08,0.00018
6.312500000000047e-08,0.00018
6.325000000000046e-08,0.00018
6.337500000000046e-08,0.00018
6.350000000000046e-08,0.00018
6.362500000000045e-08,0.00018
6.375000000000045e-08,0.00018
6.387500000000046e-08,0.00018
6.4e-08,0.00018
6.412500000000044e-08,0.00018
6.425000000000043e-08,0.00018
6.437500000000043e-08,0.00018
6.450000000000043e-08,0.00018
6.462500000000042e-08,0.00018
6.475000000000042e-08,0.00018
6.487500000000041e-08,0.00018
6.500000000000041e-08,0.00018
6.512500000000041e-08,0.00018
6.52500000000004e-08,0.00018
6.53750000000004e-08,0.00018
6.550000000000039e-08,0.00018
6.562500000000039e-08,0.00018
6.575000000000039e-08,0.00018
6.58750000000004e-08,0.00018
6.600000000000001e-08,0.00018
6.612500000000038e-08,0.00018
6.625000000000037e-08,0.00018
6.637500000000037e-08,0.00018
6.650000000000036e-08,0.00018
6.662500000000036e-08,0.00018
6.675000000000036e-08,0.00018
6.687500000000035e-08,0.00018
6.700000000000035e-08,0.00018
6.712500000000034e-08,0.00018
6.725000000000034e-08,0.00018
6.737500000000034e-08,0.00018
6.750000000000033e-08,0.00018
6.762500000000033e-08,0.00018
6.775000000000033e-08,0.00018
6.787500000000033e-08,0.00018
6.8e-08,0.00018
6.812500000000031e-08,0.00018
6.825000000000031e-08,0.00018
6.837500000000031e-08,0.00018
6.85000000000003e-08,0.00018
6.86250000000003e-08,0.00018
6.875000000000029e-08,0.00018
6.887500000000029e-08,0.00018
6.900000000000029e-08,0.00018
6.912500000000028e-08,0.00018
6.925000000000028e-08,0.00018
6.937500000000028e-08,0.00018
6.950000000000027e-08,0.00018
6.962500000000027e-08,0.00018
6.975000000000026e-08,0.00018
6.987500000000027e-08,0.00018
7e-08,0.00018
7.012500000000025e-08,0.00018
7.025000000000025e-08,0.00018
7.037500000000024e-08,0.00018
7.050000000000024e-08,0.00018
7.062500000000024e-08,0.00018
7.075000000000023e-08,0.00018
7.087500000000023e-08,0.00018
7.100000000000023e-08,0.00018
7.112500000000022e-08,0.00018
7.125000000000022e-08,0.00018
7.137500000000021e-08,0.00018
7.150000000000021e-08,0.00018
7.162500000000021e-08,0.00018
7.17500000000002e-08,0.00018
7.187500000000021e-08,0.00018
7.2e-08,0.00018
7.212500000000019e-08,0.00018
7.225000000000019e-08,0.00018
7.237500000000018e-08,0.00018
7.250000000000018e-08,0.00018
7.262500000000018e-08,0.00018
7.275000000000017e-08,0.00018
7.287500000000017e-08,0.00018
7.300000000000016e-08,0.00018
7.312500000000016e-08,0.00018
7.325000000000016e-08,0.00018
7.337500000000015e-08,0.00018
7.350000000000015e-08,0.00018
7.362500000000014e-08,0.00018
7.375000000000014e-08,0.00018
7.387500000000015e-08,0.00018
7.400000000000001e-08,0.00018
7.412500000000013e-08,0.00018
7.425000000000013e-08,0.00018
7.437500000000012e-08,0.00018
7.450000000000012e-08,0.00018
7.462500000000011e-08,0.00018
7.475000000000011e-08,0.00018
